馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
スペシャルウィーク-覇魂-,ヘイルトゥリーズン系,12,1200m〜3200m,普通,〇,A,A,A,B,C,天地覇者,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,マルゼンスキー,ニジンスキー,ノーザンダンサー,バックパサー,セントクレスピン,Aureole,ヒンドスタン,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nearctic,Nearctic,Nearctic,Tom Fool,Hampton,Hampton,St.Simon,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,トムフール系,オリオール系,オリオール系,ボワルセル系
スペシャルウィーク1999,ヘイルトゥリーズン系,7,1200m〜3000m,普通,〇,B,A,A,B,A,天衣無縫,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,マルゼンスキー,ニジンスキー,ノーザンダンサー,バックパサー,セントクレスピン,Aureole,ヒンドスタン,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nearctic,Nearctic,Nearctic,Tom Fool,Hampton,Hampton,St.Simon,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,トムフール系,オリオール系,オリオール系,ボワルセル系
スペンドアバック1985,トムフール系,5,1000m〜2300m,普通,◎,B,A,A,B,B,砂塵巻上,,Buckaroo,バックパサー,Tom Fool,Menow,War Admiral,No Robbery,Swaps,Prince Bio,Speak John,Prince John,プリンスキロ,Tornado,ジャイプール,ナスルーラ,Battlefield,Tom Fool,Tom Fool,Tom Fool,Phalaris,Matchem,Hampton,Hampton,St.Simon,St.Simon,St.Simon,St.Simon,Herod,Nasrullah,Nasrullah,Matchem,トムフール系,トムフール系,トムフール系,ファラリス系,マンノウォー系,カーレッド系,カーレッド系,プリンスビオ系,プリンスキロ系,プリンスキロ系,プリンスキロ系,トウルビヨン系,ナスルーラ系,ナスルーラ系,マンノウォー系
スマートファルコン-砂覇-,ヘイルトゥリーズン系,11,1400m〜2400m,普通,◎,B,B,A,A,A,空隼帆翔,,ゴールドアリュール,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,ヌレイエフ,ノーザンダンサー,Hostage,ミシシッピアン,ヴェイグリーノーブル,ヴィエナ,Dark Star,クラウンドプリンス,Raise a Native,シルバーシャーク,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Nearctic,Hampton,Hampton,Hampton,Hampton,Native Dancer,Native Dancer,Matchem,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,オリオール系,オリオール系,オリオール系,ハンプトン系,レイズアネイティヴ系,レイズアネイティヴ系,レリック系
スマートファルコン2011,ヘイルトゥリーズン系,7,1400m〜2400m,普通,◎,B,B,A,A,A,唯我独尊,,ゴールドアリュール,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,ヌレイエフ,ノーザンダンサー,Hostage,ミシシッピアン,ヴェイグリーノーブル,ヴィエナ,Dark Star,クラウンドプリンス,Raise a Native,シルバーシャーク,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Nearctic,Hampton,Hampton,Hampton,Hampton,Native Dancer,Native Dancer,Matchem,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,オリオール系,オリオール系,オリオール系,ハンプトン系,レイズアネイティヴ系,レイズアネイティヴ系,レリック系
スミノココロ,ヒムヤー系,collabo_1025,1600m〜2400m,普通,〇,B,B,A,A,B,,,アクアク,Battle Joined,Armageddon,Alsab,Revoked,Turn-to,Royal Charger,プリンスキロ,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,エルバジェ,Vandale,Cohoes,Himyar,Himyar,Himyar,Himyar,Himyar,Royal Charger,Royal Charger,St.Simon,Royal Charger,Royal Charger,Royal Charger,Phalaris,Hampton,Hampton,Swynford,ヒムヤー系,ヒムヤー系,ヒムヤー系,ヒムヤー系,ヒムヤー系,ロイヤルチャージャー系,ロイヤルチャージャー系,プリンスキロ系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,サンインロー系,サンインロー系,ブレニム系
スラマニ2003,ノーザンダンサー系,5,2000m〜2900m,普通,△,A,A,A,B,A,Solas,,Hernando,Niniski,ニジンスキー,ノーザンダンサー,トムロルフ,ミスワキ,ミスタープロスペクター,リファール,アレッジド,ホイストザフラッグ,トムロルフ,Prince John,Northfields,ノーザンダンサー,Relko,Nearctic,Nearctic,Nearctic,Nearctic,St.Simon,Native Dancer,Native Dancer,Nearctic,St.Simon,St.Simon,St.Simon,St.Simon,Nearctic,Nearctic,Teddy,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,リボー系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,リボー系,リボー系,リボー系,プリンスキロ系,ノーザンダンサー系,ノーザンダンサー系,テディ系
スルーオゴールド,ボールドルーラー系,5,1800m〜2200m,晩成,◎,A,A,B,A,C,,,シアトルスルー,Bold Reasoning,Boldnesian,ボールドルーラー,ヘイルトゥリーズン,Poker,ラウンドテーブル,Jet Action,バックパサー,Tom Fool,Menow,War Admiral,Hill Prince,プリンスキロ,Stimulus,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Royal Charger,St.Simon,St.Simon,Swynford,Tom Fool,Tom Fool,Phalaris,Matchem,St.Simon,St.Simon,Himyar,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,ヘイルトゥリーズン系,プリンスキロ系,プリンスキロ系,ブレニム系,トムフール系,トムフール系,ファラリス系,マンノウォー系,プリンスキロ系,プリンスキロ系,ヒムヤー系
スワーヴリチャード2018,ヘイルトゥリーズン系,5,1800m〜2500m,普通,〇,A,B,A,B,B,同志一体,,ハーツクライ,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,トニービン,カンパラ,リファール,アンブライドルズソング,Unbridled,ファピアノ,カロ,General Meeting,シアトルスルー,リヴァーマン,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nasrullah,Nasrullah,Nearctic,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Nasrullah,Nasrullah,Nasrullah,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ゼダーン系,ゼダーン系,ノーザンダンサー系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,フォルティノ系,ボールドルーラー系,ボールドルーラー系,ネヴァーベンド系
スーパークリック,ノーザンダンサー系,1006,2000m〜3200m,晩成,〇,C,A,B,B,A,押下連打,,ノーアテンション,グリーンダンサー,ニジンスキー,ノーザンダンサー,ヴァルドロワール,Sovereign Path,Grey Sovereign,Orsini,インターメゾ,ホーンビーム,ハイペリオン,Persian Gulf,サヤジラオ,ネアルコ,Rockefella,Nearctic,Nearctic,Nearctic,Nearctic,Swynford,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ブラントーム系,ソヴリンパス系,グレイソヴリン系,エクリプス系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ブランドフォード系,ネアルコ系,ネアルコ系,ロックフェラ系
スーパークリーク,ノーザンダンサー系,5,2000m〜3200m,晩成,〇,B,A,B,A,A,同心戮力,,ノーアテンション,グリーンダンサー,ニジンスキー,ノーザンダンサー,ヴァルドロワール,Sovereign Path,Grey Sovereign,Orsini,インターメゾ,ホーンビーム,ハイペリオン,Persian Gulf,サヤジラオ,ネアルコ,Rockefella,Nearctic,Nearctic,Nearctic,Nearctic,Swynford,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ブラントーム系,ソヴリンパス系,グレイソヴリン系,エクリプス系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ブランドフォード系,ネアルコ系,ネアルコ系,ロックフェラ系
スーパークリーク-剛健-,ノーザンダンサー系,11,2000m〜3200m,普通,〇,B,A,A,A,A,大河白道,,ノーアテンション,グリーンダンサー,ニジンスキー,ノーザンダンサー,ヴァルドロワール,Sovereign Path,Grey Sovereign,Orsini,インターメゾ,ホーンビーム,ハイペリオン,Persian Gulf,サヤジラオ,ネアルコ,Rockefella,Nearctic,Nearctic,Nearctic,Nearctic,Swynford,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ブラントーム系,ソヴリンパス系,グレイソヴリン系,エクリプス系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ブランドフォード系,ネアルコ系,ネアルコ系,ロックフェラ系
スーパークリーク-燕闘-,ノーザンダンサー系,12,2000m〜3200m,普通,〇,B,A,A,A,A,山紫水明,,ノーアテンション,グリーンダンサー,ニジンスキー,ノーザンダンサー,ヴァルドロワール,Sovereign Path,Grey Sovereign,Orsini,インターメゾ,ホーンビーム,ハイペリオン,Persian Gulf,サヤジラオ,ネアルコ,Rockefella,Nearctic,Nearctic,Nearctic,Nearctic,Swynford,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ブラントーム系,ソヴリンパス系,グレイソヴリン系,エクリプス系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ブランドフォード系,ネアルコ系,ネアルコ系,ロックフェラ系
スーパークリーク1990,ノーザンダンサー系,5,2000m〜3200m,晩成,〇,B,A,A,A,A,広大無辺,,ノーアテンション,グリーンダンサー,ニジンスキー,ノーザンダンサー,ヴァルドロワール,Sovereign Path,Grey Sovereign,Orsini,インターメゾ,ホーンビーム,ハイペリオン,Persian Gulf,サヤジラオ,ネアルコ,Rockefella,Nearctic,Nearctic,Nearctic,Nearctic,Swynford,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ブラントーム系,ソヴリンパス系,グレイソヴリン系,エクリプス系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ブランドフォード系,ネアルコ系,ネアルコ系,ロックフェラ系
セイウンスカイ-天煌-,ハイペリオン系,12,2000m〜3000m,普通,〇,A,B,A,A,A,蒼穹之晴,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セイウンスカイ-瓏覇-,ハイペリオン系,12,2000m〜3000m,普通,〇,A,B,A,A,A,蒼赫蓬莱,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セイウンスカイ-覇煌-,ハイペリオン系,11,2000m〜3000m,普通,〇,A,B,A,B,A,蒼天神鳴,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セイウンスカイ1998,ハイペリオン系,5,2000m〜3000m,普通,〇,A,B,B,B,A,雲煙飛動,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セイウンスカイ2002,ハイペリオン系,5,2000m〜3000m,普通,〇,A,B,B,B,A,夜鷹ノ眼,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セイブンスゴイ,ハイペリオン系,collabo_1017,2000m〜3000m,普通,〇,A,B,B,B,A,,,シェリフズスター,ポッセ,フォルリ,Aristophanes,ボールドルーラー,カラムーン,ゼダーン,Right Royal,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,モガミ,リファール,カーネルシンボリ,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Herod,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ボールドルーラー系,ゼダーン系,ゼダーン系,オーエンテューダー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,マイバブー系
セキテイリュウオー-闘志-,プリンスリーギフト系,5,1600m〜2000m,晩成,△,B,B,B,A,B,,,トウショウボーイ,テスコボーイ,プリンスリーギフト,ナスルーラ,ハイペリオン,Your Host,アリバイ,Easton,ファーストファミリー,First Landing,Turn-to,プリンスキロ,Prince Taj,Prince Bio,Turkhan,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Hampton,Hampton,Hampton,Hampton,Royal Charger,Royal Charger,Royal Charger,St.Simon,St.Simon,St.Simon,Swynford,プリンスリーギフト系,プリンスリーギフト系,プリンスリーギフト系,ナスルーラ系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハンプトン系,ロイヤルチャージャー系,ロイヤルチャージャー系,ロイヤルチャージャー系,プリンスキロ系,プリンスビオ系,プリンスビオ系,ブランドフォード系
セクレタリアト-瑚狂-,ボールドルーラー系,12,1200m〜3200m,普通,◎,A,B,A,A,A,Scarlet Desire,,ボールドルーラー,ナスルーラ,ネアルコ,Pharos,Blenheim,Discovery,Display,Pompey,プリンスキロ,Prince Rose,Rose Prince,Papyrus,Caruso,Polymelian,Brown Bud,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Hampton,ボールドルーラー系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マッチェム系,マッチェム系,エクリプス系,プリンスキロ系,プリンスローズ系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,ハンプトン系
セクレタリアト-神狂-,ボールドルーラー系,12,1200m〜3200m,普通,◎,A,C,A,A,A,Scarlet Tyrant,,ボールドルーラー,ナスルーラ,ネアルコ,Pharos,Blenheim,Discovery,Display,Pompey,プリンスキロ,Prince Rose,Rose Prince,Papyrus,Caruso,Polymelian,Brown Bud,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Hampton,ボールドルーラー系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マッチェム系,マッチェム系,エクリプス系,プリンスキロ系,プリンスローズ系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,ハンプトン系
セクレタリアト1973,ボールドルーラー系,7,1200m〜3200m,普通,◎,A,B,A,A,A,Big Red,,ボールドルーラー,ナスルーラ,ネアルコ,Pharos,Blenheim,Discovery,Display,Pompey,プリンスキロ,Prince Rose,Rose Prince,Papyrus,Caruso,Polymelian,Brown Bud,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Hampton,ボールドルーラー系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マッチェム系,マッチェム系,エクリプス系,プリンスキロ系,プリンスローズ系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,ハンプトン系
セクレタリアト1992,ボールドルーラー系,11,1200m〜3200m,普通,◎,A,B,A,A,A,Noble Scarlet,,ボールドルーラー,ナスルーラ,ネアルコ,Pharos,Blenheim,Discovery,Display,Pompey,プリンスキロ,Prince Rose,Rose Prince,Papyrus,Caruso,Polymelian,Brown Bud,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Hampton,ボールドルーラー系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マッチェム系,マッチェム系,エクリプス系,プリンスキロ系,プリンスローズ系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,ハンプトン系
セダン,プリンスビオ系,5,1800m〜3200m,普通,〇,B,B,A,A,A,,,Prince Bio,Prince Rose,Rose Prince,Prince Palatine,Gay Crusader,Bacteriophage,Tetratema,Cadum,Orsenigo,Oleander,Prunus,Havresac,Ortello,Teddy,Michelangelo,St.Simon,St.Simon,St.Simon,St.Simon,Hampton,Herod,Herod,Eclipse,Hampton,Hampton,Hampton,St.Simon,Teddy,Teddy,Eclipse,プリンスビオ系,プリンスローズ系,セントサイモン系,セントサイモン系,ハンプトン系,ヘロド系,ヘロド系,エクリプス系,ハンプトン系,ハンプトン系,ハンプトン系,セントサイモン系,テディ系,テディ系,エクリプス系
セダン-剛健-,プリンスビオ系,5,1800m〜3200m,普通,〇,B,B,A,A,A,,,Prince Bio,Prince Rose,Rose Prince,Prince Palatine,Gay Crusader,Bacteriophage,Tetratema,Cadum,Orsenigo,Oleander,Prunus,Havresac,Ortello,Teddy,Michelangelo,St.Simon,St.Simon,St.Simon,St.Simon,Hampton,Herod,Herod,Eclipse,Hampton,Hampton,Hampton,St.Simon,Teddy,Teddy,Eclipse,プリンスビオ系,プリンスローズ系,セントサイモン系,セントサイモン系,ハンプトン系,ヘロド系,ヘロド系,エクリプス系,ハンプトン系,ハンプトン系,ハンプトン系,セントサイモン系,テディ系,テディ系,エクリプス系
セプタンブル-燕闘-,ヒムヤー系,12,2000m〜3600m,普通,◎,B,B,A,A,A,Automne,,Rough'n Tumble,Free for All,Questionnaire,Sting,Chicle,Bull Dog,Teddy,Upset,プリンスキロ,Prince Rose,Rose Prince,Papyrus,Sickle,Phalaris,Blandford,Himyar,Himyar,Himyar,Himyar,Eclipse,Teddy,Teddy,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Phalaris,Phalaris,Swynford,ヒムヤー系,ヒムヤー系,ヒムヤー系,ヒムヤー系,エクリプス系,テディ系,テディ系,エクリプス系,プリンスキロ系,プリンスローズ系,セントサイモン系,エクリプス系,ファラリス系,ファラリス系,ブランドフォード系
セプテンシンケン,ハイペリオン系,5,2000m〜3000m,普通,〇,B,A,A,B,A,光駆連撃,,セイウンスカイ,シェリフズスター,ポッセ,フォルリ,カラムーン,ミルジョージ,ミルリーフ,モガミ,キングマンボ,ミスタープロスペクター,Raise a Native,ヌレイエフ,シアトルスルー,Bold Reasoning,Pastiche,Hampton,Hampton,Hampton,Hampton,Nasrullah,Nasrullah,Nasrullah,Nearctic,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nasrullah,Nasrullah,Eclipse,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ゼダーン系,ネヴァーベンド系,ネヴァーベンド系,ノーザンダンサー系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ボールドルーラー系,ボールドルーラー系,エクリプス系
セプテンセイゴー,フェアトライアル系,5,1200m〜1800m,早熟,〇,B,B,A,A,A,龍盛自我,,リンドホシ,サンデイクリーク,ペティンゴ,Petition,Klairon,ミステリー,マイリージャン,コダマ,リマンド,アルサイド,Alycidon,Palestine,ラバージョン,ダマスカス,パーソロン,Fairway,Fairway,Fairway,Fairway,Herod,Herod,Herod,St.Simon,Swynford,Swynford,Swynford,Fairway,Teddy,Teddy,Herod,フェアトライアル系,フェアトライアル系,フェアトライアル系,フェアトライアル系,クラリオン系,マイバブー系,マイバブー系,プリンスローズ系,ブレニム系,ブレニム系,ブレニム系,フェアトライアル系,テディ系,テディ系,マイバブー系
セントクレスピン-央瑚-,オリオール系,12,1000m〜3200m,普通,△,B,B,A,A,B,Militant,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,ネアルコ,Pharos,Phalaris,Havresac,Blandford,Swynford,Farasi,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,St.Simon,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブランドフォード系,スインフォード系,セントサイモン系
セントクレスピン-瑚闘-,オリオール系,12,1000m〜3200m,普通,△,B,B,A,A,B,Regalia,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,ネアルコ,Pharos,Phalaris,Havresac,Blandford,Swynford,Farasi,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,St.Simon,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブランドフォード系,スインフォード系,セントサイモン系
セントクレスピン-神速-,オリオール系,12,1000m〜3200m,普通,△,B,B,A,A,B,Revelation,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,ネアルコ,Pharos,Phalaris,Havresac,Blandford,Swynford,Farasi,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,St.Simon,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブランドフォード系,スインフォード系,セントサイモン系
セントクレスピン-覇煌-,オリオール系,11,1000m〜3200m,普通,△,B,B,A,A,B,Fearless,,Aureole,ハイペリオン,Gainsborough,Bayardo,Chaucer,Donatello,Blenheim,Friar Marcus,ネアルコ,Pharos,Phalaris,Havresac,Blandford,Swynford,Farasi,Hampton,Hampton,Hampton,Hampton,St.Simon,Swynford,Swynford,Eclipse,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,St.Simon,オリオール系,ハイペリオン系,ハンプトン系,ハンプトン系,セントサイモン系,ブレニム系,ブレニム系,エクリプス系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブランドフォード系,スインフォード系,セントサイモン系
セントニコラスアビー-天闘-,ノーザンダンサー系,12,1600m〜2600m,普通,△,B,A,A,A,C,Gorgeous,,モンジュー,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,トップヴィル,ハイトップ,Tennyson,Sure Blade,Kris,シャーペンアップ,Home Guard,Desert Wine,ダマスカス,Sadair,Nearctic,Nearctic,Nearctic,Nearctic,Royal Charger,Phalaris,Phalaris,Swynford,Native Dancer,Native Dancer,Native Dancer,Hampton,Teddy,Teddy,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,ダンテ系,ダンテ系,ブラントーム系,エタン系,エタン系,エタン系,ハイペリオン系,テディ系,テディ系,サンインロー系
セントニコラスアビー-闘覇-,ノーザンダンサー系,11,1600m〜2700m,普通,△,B,A,A,A,C,Cenobite,,モンジュー,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,トップヴィル,ハイトップ,Tennyson,Sure Blade,Kris,シャーペンアップ,Home Guard,Desert Wine,ダマスカス,Sadair,Nearctic,Nearctic,Nearctic,Nearctic,Royal Charger,Phalaris,Phalaris,Swynford,Native Dancer,Native Dancer,Native Dancer,Hampton,Teddy,Teddy,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,ダンテ系,ダンテ系,ブラントーム系,エタン系,エタン系,エタン系,ハイペリオン系,テディ系,テディ系,サンインロー系
